difficulty,qid,sid,text,type,dep,par,answer
Easy,fables-06-1,fables-06,Where was the lion sleeping?,Sch,"1	Where	where	_	WRB	_	5	advmod	_	_
2	was	be	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	lion	lion	_	NN	_	5	nsubj	_	_
5	sleeping	sleep	_	VBG	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD was) (NP (DT the) (NN lion)) (VP (VBG sleeping))) (. ?))),in a lair | in his lair
Easy,fables-06-2,fables-06,Who is terrified?,Story,"1	Who	who	_	WP	_	3	nsubjpass	_	_
2	is	be	_	VBZ	_	3	auxpass	_	_
3	terrified	terrify	_	VBN	_	0	root	_	_
4	?	?	_	.	_	3	punct	_	_",(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBZ is) (NP (VBN terrified))) (. ?))),the Mouse
Easy,fables-06-3,fables-06,What amused the Lion so much?,Story,"1	What	what	_	WDT	_	2	nsubj	_	_
2	amused	amuse	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	Lion	Lion	_	NNP	_	2	dobj	_	_
5	so	so	_	RB	_	6	advmod	_	_
6	much	much	_	RB	_	2	advmod	_	_
7	?	?	_	.	_	2	punct	_	_",(ROOT (SBARQ (WHNP (WDT What)) (SQ (VP (VBD amused) (NP (DT the) (NNP Lion)) (ADVP (RB so) (RB much)))) (. ?))),The idea of so insignificant a creature ever being able to do anything for him
Easy,fables-06-4,fables-06,Where did the Lion get entangled in one day?,Story,"1	Where	where	_	WRB	_	5	advmod	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	Lion	Lion	_	NNP	_	5	nsubj	_	_
5	get	get	_	VB	_	0	root	_	_
6	entangled	entangled	_	JJ	_	5	xcomp	_	_
7	in	in	_	IN	_	9	case	_	_
8	one	one	_	CD	_	9	nummod	_	_
9	day	day	_	NN	_	5	nmod	_	_
10	?	?	_	.	_	5	punct	_	_",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD did) (NP (DT the) (NNP Lion)) (VP (VB get) (ADJP (JJ entangled) (PP (IN in) (NP (CD one)))) (NP-TMP (NN day)))) (. ?))),a net which had been spread for game by some hunters
Easy,fables-06-5,fables-06,Who heard and recognised his roars of anger and ran to the spot?,Story,"1	Who	who	_	WP	_	2	nsubj	_	_
2	heard	hear	_	VBD	_	0	root	_	_
3	and	and	_	CC	_	2	cc	_	_
4	recognised	recognise	_	VBD	_	2	conj	_	_
5	his	he	_	PRP$	_	6	nmod:poss	_	_
6	roars	roar	_	VBZ	_	2	dobj	_	_
7	of	of	_	IN	_	8	case	_	_
8	anger	anger	_	NN	_	6	nmod	_	_
9	and	and	_	CC	_	2	cc	_	_
10	ran	run	_	VBD	_	2	conj	_	_
11	to	to	_	TO	_	13	case	_	_
12	the	the	_	DT	_	13	det	_	_
13	spot	spot	_	NN	_	10	nmod	_	_
14	?	?	_	.	_	2	punct	_	_",(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VP (VBD heard)) (CC and) (VP (VBD recognised) (SBAR (S (NP (PRP$ his)) (VP (VP (VBZ roars) (PP (IN of) (NP (NN anger)))) (CC and) (VP (VBD ran) (PP (TO to) (NP (DT the) (NN spot)))))))))) (. ?))),because a mouse ran into the face of the lion
Easy,fables-06-6,fables-06,Why was the lion awaked?,Sch,"1	Why	why	_	WRB	_	5	advmod	_	_
2	was	be	_	VBD	_	5	auxpass	_	_
3	the	the	_	DT	_	4	det	_	_
4	lion	lion	_	NN	_	5	nsubjpass	_	_
5	awaked	awake	_	VBN	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_",(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBD was) (NP (DT the) (NN lion)) (VP (VBN awaked))) (. ?))),a trapper
Easy,fables-06-7,fables-06,Who spread some net in order to catch a big game?,Sch,"1	Who	who	_	WP	_	2	nsubj	_	_
2	spread	spread	_	VBD	_	0	root	_	_
