sch,sch_dep,sch_par,sid,story_dep,story_par,text
"An oven broke because the broiler of the oven activated.  
The oven scorched a group of treats and created some fire.  
The husband of a narrator who owned a house and owned the oven attempted for the husband of the narrator to retrieve the group of treats and discovered that the oven had created the fire.  
The husband of the narrator unsuccessfully tried to eliminate the fire.  
The husband of the narrator quickly shut the door of the oven in order to prevent the fire spreading.  
The narrator retrieved a fire extinguisher.  
The husband of the narrator opened the door of the oven.  
The fire ascended to the ceiling of the house.  
The oven began to be broken, and the fire extinguisher eliminated the fire.  
The fire didn't damage the group of things of the house.  
The house aired, and the husband of the narrator and the narrator cleaned the house in order for the house to be normal.  
The husband of the narrator and the narrator used some griddle and used a toaster oven.  
The narrator ordered a new second oven.  
The narrator began to be excited because she had ordered the second oven.  
","1	An	a	_	DT	_	2	det	_	_
2	oven	oven	_	NN	_	3	nsubj	_	_
3	broke	break	_	VBD	_	0	root	_	_
4	because	because	_	IN	_	3	nmod:tmod	_	_
5	the	the	_	DT	_	6	det	_	_
6	broiler	broiler	_	NN	_	4	root	_	_
7	of	of	_	IN	_	9	case	_	_
8	the	the	_	DT	_	9	det	_	_
9	oven	oven	_	NN	_	6	nmod	_	_
10	activated	activate	_	VBN	_	9	acl	_	_
11	.	.	_	.	_	6	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	oven	oven	_	NN	_	3	nsubj	_	_
3	scorched	scorch	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	5	det	_	_
5	group	group	_	NN	_	3	dobj	_	_
6	of	of	_	IN	_	7	case	_	_
7	treats	treat	_	VBZ	_	5	nmod	_	_
8	and	and	_	CC	_	3	cc	_	_
9	created	create	_	VBD	_	3	conj	_	_
10	some	some	_	DT	_	11	det	_	_
11	fire	fire	_	NN	_	9	dobj	_	_
12	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	husband	husband	_	NN	_	0	root	_	_
3	of	of	_	IN	_	5	case	_	_
4	a	a	_	DT	_	5	det	_	_
5	narrator	narrator	_	NN	_	2	nmod	_	_
6	who	who	_	WP	_	7	nsubj	_	_
7	owned	own	_	VBD	_	5	acl:relcl	_	_
8	a	a	_	DT	_	9	det	_	_
9	house	house	_	NN	_	7	dobj	_	_
10	and	and	_	CC	_	7	cc	_	_
11	owned	own	_	VBD	_	7	conj	_	_
12	the	the	_	DT	_	13	det	_	_
13	oven	oven	_	NN	_	11	dobj	_	_
14	attempted	attempt	_	VBN	_	13	acl	_	_
15	for	for	_	IN	_	17	case	_	_
16	the	the	_	DT	_	17	det	_	_
17	husband	husband	_	NN	_	14	nmod	_	_
18	of	of	_	IN	_	20	case	_	_
19	the	the	_	DT	_	20	det	_	_
20	narrator	narrator	_	NN	_	17	nmod	_	_
21	to	to	_	TO	_	22	mark	_	_
22	retrieve	retrieve	_	VB	_	11	advcl	_	_
23	the	the	_	DT	_	24	det	_	_
24	group	group	_	NN	_	22	dobj	_	_
25	of	of	_	IN	_	26	case	_	_
26	treats	treat	_	VBZ	_	24	nmod	_	_
27	and	and	_	CC	_	7	cc	_	_
28	discovered	discover	_	VBD	_	7	conj	_	_
29	that	that	_	IN	_	33	mark	_	_
30	the	the	_	DT	_	31	det	_	_
31	oven	oven	_	NN	_	33	nsubj	_	_
32	had	have	_	VBD	_	33	aux	_	_
33	created	create	_	VBN	_	28	ccomp	_	_
34	the	the	_	DT	_	35	det	_	_
35	fire	fire	_	NN	_	33	dobj	_	_
36	.	.	_	.	_	2	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	husband	husband	_	NN	_	7	nsubj	_	_
3	of	of	_	IN	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	narrator	narrator	_	NN	_	2	nmod	_	_
6	unsuccessfully	unsuccessfully	_	RB	_	7	advmod	_	_
7	tried	try	_	VBD	_	0	root	_	_
8	to	to	_	TO	_	9	mark	_	_
9	eliminate	eliminate	_	VB	_	7	xcomp	_	_
10	the	the	_	DT	_	11	det	_	_
11	fire	fire	_	NN	_	9	dobj	_	_
12	.	.	_	.	_	7	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	husband	husband	_	NN	_	7	nsubj	_	_
3	of	of	_	IN	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	narrator	narrator	_	NN	_	2	nmod	_	_
6	quickly	quickly	_	RB	_	7	advmod	_	_
7	shut	shut	_	VBD	_	0	root	_	_
8	the	the	_	DT	_	9	det	_	_
9	door	door	_	NN	_	7	dobj	_	_
10	of	of	_	IN	_	12	case	_	_
11	the	the	_	DT	_	12	det	_	_
12	oven	oven	_	NN	_	9	nmod	_	_
13	in	in	_	IN	_	16	mark	_	_
14	order	order	_	NN	_	13	mwe	_	_
15	to	to	_	TO	_	16	mark	_	_
16	prevent	prevent	_	VB	_	7	advcl	_	_
17	the	the	_	DT	_	19	det	_	_
18	fire	fire	_	NN	_	19	compound	_	_
19	spreading	spreading	_	NN	_	16	dobj	_	_
20	.	.	_	.	_	7	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	3	nsubj	_	_
3	retrieved	retrieve	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	6	det	_	_
5	fire	fire	_	NN	_	6	compound	_	_
6	extinguisher	extinguisher	_	NN	_	3	dobj	_	_
7	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	husband	husband	_	NN	_	6	nsubj	_	_
3	of	of	_	IN	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	narrator	narrator	_	NN	_	2	nmod	_	_
6	opened	open	_	VBD	_	0	root	_	_
